y,x1
177.2286923,1
177.5500413,2
176.4084619,1
177.7036255,2
177.1254863,1
176.7783425,2
176.7463019,1
177.0611642,2
176.2749493,1
177.9672029,2
176.6012998,1
177.0305428,2
177.4795072,1
176.8741298,2
176.1143883,1
176.0083945,2
176.1083126,1
178.3574409,2
177.2624451,1
176.9188449,2
176.2390158,1
176.5730698,2
176.0392979,1
176.8179222,2
176.1605865,1
177.2264241,2
175.938533,1
177.1649367,2
175.3608396,1
177.2769957,2
175.9454438,1
175.8827796,2
176.4793409,1
176.0443421,2
177.4124617,1
177.3608182,2
177.3854992,1
176.9758077,2
177.3797787,1
177.9979951,2
176.4348626,1
176.9332651,2
175.9834802,1
177.0340927,2
176.4367624,1
176.067745,2
177.1210486,1
177.1977214,2
176.6037241,1
177.2081714,2
177.1488286,1
176.8190767,2
176.9990669,1
178.1346046,2
176.429156,1
176.6683229,2
176.8958669,1
177.7794929,2
176.414495,1
176.8788977,2
177.5806831,1
176.9572689,2
175.7475456,1
177.3525951,2
177.1041864,1
178.0796352,2
176.9034221,1
177.5402842,2
177.0327097,1
178.2860419,2
176.4054102,1
176.4308301,2
177.3963306,1
176.9255758,2
177.0550458,1
177.3441639,2
177.1283675,1
177.1683022,2
176.3539406,1
179.060899,2
176.3005171,1
177.5933524,2
177.1152452,1
177.7944574,2
177.0040381,1
178.0368584,2
177.7013663,1
177.6328083,2
177.6522746,1
177.1004179,2
177.187967,1
177.4052919,2
178.1416444,1
177.7106125,2
177.6872644,1
177.118176,2
